name,type,customers,customers__002,customers__003,nationality,mass,manufacturer,reused,dragon__capsule,dragon__mass_returned_kg,dragon__mass_returned_lbs,dragon__flight_time_sec,dragon__manifest,dragon__water_landing,dragon__land_landing,launch,mass_kg,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id,norad_ids__-,norad_ids
E-TBEx A & B,Satellite,SRI International,,,United States,9,SRI International,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,4,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4cdb6c3bb0006eeb244,,
PSat 2,Satellite,US Naval Academy,,,United States,4,US Naval Academy,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,2,LEO,geocentric,low-earth,null,6917.105,0.0344458,300.705,777.236,28.5266,95.421,null,2021-01-12T21:19:19.000Z,15.09093454,79.0732,37.9101,324.5228,5eb0e4cdb6c3bb0006eeb245,44357,
BRICSat 2,Satellite,US Naval Academy,,,United States,2,US Naval Academy,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,1,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4ceb6c3bb0006eeb246,,
TEPCE 1 & 2,Satellite,Naval Research Lab,,,United States,3,Naval Research Lab,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,1.5,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4ceb6c3bb0006eeb247,,
CP9,Satellite,Cal Poly,,,United States,3,Cal Poly,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,1.5,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4ceb6c3bb0006eeb248,,
StangSat,Satellite,Merrit Island HS,,,United States,2,Merrit Island HS,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,1,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4ceb6c3bb0006eeb249,,
Amos-17,Satellite,Spacecom,,,Israel,14330,Boeing Satellite Systems,FALSE,null,null,null,null,null,null,null,5eb87d37ffd86e000604b37c,6500,GTO,geocentric,geostationary,17,null,null,null,null,null,null,15,null,null,null,null,null,5eb0e4cfb6c3bb0006eeb24b,,
Starlink 1,Satellite,SpaceX,,,United States,34392,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d39ffd86e000604b37d,15600,VLEO,geocentric,very-low-earth,null,6925.422,0.0001472,546.267,548.306,53.0575,95.593,null,2021-01-13T06:11:13.000Z,15.06375907,352.6693,74.3547,285.7604,5eb0e4cfb6c3bb0006eeb24c,,44713
JCSat 18 / Kacific 1,Satellite,SKY Perfect JSAT Corporation,Kacific Broadband Satellites Pte Ltd,,Japan,14991,Boeing Satellite Systems,FALSE,null,null,null,null,null,null,null,5eb87d3bffd86e000604b37f,6800,GTO,geocentric,geostationary,null,42165.294,0.0000546,35784.857,35789.461,0.0394,1436.125,15,2021-01-12T21:38:04.000Z,1.00269779,135.7191,209.2518,242.1079,5eb0e4cfb6c3bb0006eeb24e,44868,
Starlink 2,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d3cffd86e000604b380,15400,VLEO,geocentric,very-low-earth,null,6927.871,0.000183,548.468,551.003,52.9998,95.644,null,2021-01-13T01:51:47.000Z,15.05577292,153.5009,104.2394,255.8798,5eb0e4cfb6c3bb0006eeb24f,,44914
Starlink 3,Satellite,SpaceX,,,United States,34392,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d3fffd86e000604b382,15600,VLEO,geocentric,very-low-earth,null,6927.84,0.0001139,548.915,550.494,53.0024,95.643,null,2021-01-12T10:50:57.000Z,15.05587437,76.3112,94.2007,265.9111,5eb0e4d0b6c3bb0006eeb251,,45044
Starlink 4,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d41ffd86e000604b383,15400,VLEO,geocentric,very-low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4d0b6c3bb0006eeb252,,
Starlink 5,Satellite,SpaceX,,,United States,34392,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d43ffd86e000604b385,15600,VLEO,geocentric,very-low-earth,null,6925.353,0.0002053,545.796,548.639,53.0566,95.592,null,2021-01-12T19:36:57.000Z,15.06398532,214.6458,82.3644,277.7578,5eb0e4d0b6c3bb0006eeb254,,45178
Starlink 6,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d44ffd86e000604b386,15400,VLEO,geocentric,very-low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4d1b6c3bb0006eeb255,72000,
Starlink 7,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d45ffd86e000604b387,15400,VLEO,geocentric,very-low-earth,null,6526.082,0.0028054,129.639,166.255,53.0001,87.445,null,2020-07-14T14:23:37.000Z,16.46735707,319.7129,181.2741,293.9291,5eb0e4d1b6c3bb0006eeb256,,45657
Starlink 8,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d46ffd86e000604b389,15400,VLEO,geocentric,very-low-earth,null,6927.845,0.0001347,548.777,550.644,53.0019,95.643,null,2021-01-13T10:22:27.000Z,15.05585516,41.9025,79.6055,280.5085,5eb0e4d1b6c3bb0006eeb258,,45730
